SMILES,FRAGMENTS
CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,148.0755:269.1647:120.0807;148.0763:79.0546:105.0578|148.0763:105.0577:79.0545|148.0764:91.0547:199.0627|148.0763:91.0547
CNC1=CC=CC=C1,93.0573:108.0807:91.0542
C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,220.112:143.0729:92.0494;143.0735:220.1129:92.0498|143.0735:115.0547:128.0626|220.113:143.0736:205.0896|143.0735:205.0894:203.0863
C1=CC2=NC3=CC=CC=C3N=C2C=C1,181.0758:111.0231:121.0076
C1=CC=NC=C1,80.0494:96.0443
OC1=C(Cl)C=C(Cl)C=C1Cl,NA
OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,NA
CCCCC(CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1,250.0863:232.0757:204.0808
COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1,151.0389:229.0859:105.0334;151.0389:229.0859:105.0335;151.039:105.0335:77.0387|229.0859:151.0388:105.0335|229.0861:151.039:105.0335|151.039:105.0335:229.0858|151.039:105.0335:95.0492|151.039:105.0335:95.0492|151.039:95.0492:105.0335|229.0858:151.039:105.0333|229.0859:151.039:105.0335|151.039:105.0335:229.0858|151.0389:105.0335:95.0491|151.0389:105.0335:95.0491|151.0389:95.0491:105.0335|151.039:105.0335:77.0386;229.0861:151.0389:105.0335|151.0389:105.0335:77.0386|77.0386:95.0491:151.0387
OC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,197.0596:153.0698:105.0334|197.0596:153.0699:169.0648
COC1=C(C=O)C2=CC=CC=C2C=C1,187.0752:144.0568:157.0647
CC1=NC2=C(S1)C=CC1=CC=CC=C21,200.0528:159.0263:115.0542
OC1=CC(OC2=CC=CC=C2)=CC=C1,187.0752:144.0568:157.0647
N1N=CC2=CC=CC=C12,119.0604:92.0495:65.0387
N1C=CC=N1,69.0448
N1C=CC=C1,68.0496:53.0024
CN1C2=C(NC=N2)C(=O)N(C)C1=O,181.0723:124.0501:142.0611;181.0719:124.0505:96.0556;181.0721:124.0507:96.0556|181.0721:124.0507:96.0557|181.0721:124.0506:96.0557|124.0507:181.0721:96.0557|124.0507:96.0557:69.0447|69.0448:124.0507:96.0557|69.0448:96.0557:109.0272|69.0448:54.0213:109.0272|69.0448:54.0213:67.0291
S1C=CN=C1,86.0059:58.9951:57.9873
C1=CC=C(N=C1)C1=CC=CC=N1,157.0759:130.065:96.0443
OC1=C(C(=CC=C1)[N+]([O-])=O)[N+]([O-])=O,NA
OC1=C(Cl)C=C(Cl)C(Cl)=C1,NA
OC1=C(Br)C=C(Br)C=C1Br,NA
CC(=O)C1=CC2=CC=CC=C2C2=CC=CC=C12,221.0962:179.0856:203.0856
OC1=CC=C2C(=O)C3=CC(O)=CC=C3C(=O)C2=C1,NA
C1=CC2=CC3=CC=CN=C3C=C2C=C1,180.0806:152.0616:179.0722
CC(=O)C=CC1=CC=CC=C1,147.0803:129.0698:128.062
CCCCN,57.07:74.0965:53.0024
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,114.9613:197.9274:349.9337;321.9025:293.871:197.9275|349.9336:321.9026:197.9275|197.9274:114.9613:96.9507|197.9275:114.9613:96.9508|197.9275:114.9614:96.9508|114.9613:197.9274:96.9508|114.9613:96.9507:106.9449|349.9337:321.9022:197.9274|197.9275:114.9613:96.9508|197.9275:114.9613:96.9508|197.9275:114.9613:96.9507|114.9613:197.9274:96.9507|114.9613:96.9507:106.9449|321.9021:293.8709:197.9275
NC(=O)\C=C\C1=CC=CC=C1,131.0491:148.0756:103.0542
O=C1OC2=CC=CC=C2C=C1,147.0439:103.0542:91.0542
C1=CC=C2C(C=CC3=NC4=C(C=C23)C2=CC=CC=C2C=C4)=C1,280.112:279.1041:278.0961;280.1123:279.1043:278.0962
