SMILES,CAS_RN,DTXSID,FRAGMENTS,All,chlorinated,frag_list,n_fragments
Nc1nc(NC(C)(C)C)nc(O)n1,CAS_RN: 66753-06-8,DTXSID60216887,184.1182:128.0561:185.1212|128.0561:129.0578:184.1179|128.0563|128.0558;128.0567:86.0347:184.1197|184.1189:128.0565|128.0566:184.119:86.035|128.0565:184.1192:86.0348|128.0566:86.0348:85.0508|128.0565:86.0348:85.0508|86.0348:128.0565:85.0508|184.119:128.0565|128.0566:184.1191:86.0348|128.0566:184.119:86.0348|128.0565:86.0348:85.0508|128.0565:86.0348:85.0508|86.0348:128.0565:85.0507|128.0566:86.0348,0,0,"[85.0507, 85.0508, 86.0347, 86.0348, 86.035, 128.0558, 128.0561, 128.0563, 128.0565, 128.0566, 128.0567, 129.0578, 184.1179, 184.1182, 184.1189, 184.119, 184.1191, 184.1192, 184.1197, 185.1212]",20
COC1=C(OC)C=CC(C(C(C)C)(C#N)CCCN(CCC2=CC(OC)=C(OC)C=C2)C)=C1,CAS_RN: 56949-77-0,DTXSID9041152,455.291:456.2939:457.2963|455.291:456.2939:165.0902|165.09:455.29:303.2064|165.0902:150.0667:303.2067|165.0899:150.0667:151.0721;165.0911:455.2906:150.0676;303.207:165.0913:150.0676|455.291:150.0669|165.0911:455.2907:303.2067|165.0913:303.2068:150.0676|165.0911:150.0676:105.0699|150.0676:165.0911:105.07|150.0676:135.0442:134.0727|455.2907|165.0912:455.2906:303.2068|165.0912:303.2069:150.0676|165.0913:150.0677:105.07|150.0677:165.0911:105.0699|135.0441:150.0676:134.0727|303.2071:165.0911:150.0676;165.0913:150.0678:105.07|150.0677:105.0699:134.0728|303.2074:165.0914:260.1651|303.2074:165.0913:260.1651,0,0,"[105.0699, 105.07, 134.0727, 134.0728, 135.0441, 135.0442, 150.0667, 150.0669, 150.0676, 150.0677, 150.0678, 151.0721, 165.0899, 165.09, 165.0902, 165.0911, 165.0912, 165.0913, 165.0914, 260.1651, 303.2064, 303.2067, 303.2068, 303.2069, 303.207, 303.2071, 303.2074, 455.29, 455.2906, 455.2907, 455.291, 456.2939, 457.2963]",33
CC(C)NCC(O)COc1ccc(cc1)CC(=O)O,CAS_RN: 56392-14-4,DTXSID70881080,268.154:269.1576:270.1604|268.154:191.0696:226.1069|145.0641:191.0694:165.0536|145.0641:163.049:165.0535;191.0704:226.1074:145.0648|268.1548|268.1545:191.0702:226.1074|268.1544:191.0703:145.0648|145.0649:191.0702:165.0547|145.0648:163.0502:91.0542|145.0648:79.0542:91.0542|268.1546:226.1076|268.1545:191.0702:226.1073|268.1545:191.0703:145.0648|145.0649:191.0702:165.0547|145.0648:163.0502:56.0495|145.0648:79.0542:91.0542|191.0704:226.1075:145.0648,0,0,"[56.0495, 79.0542, 91.0542, 145.0641, 145.0648, 145.0649, 163.049, 163.0502, 165.0535, 165.0536, 165.0547, 191.0694, 191.0696, 191.0702, 191.0703, 191.0704, 226.1069, 226.1073, 226.1074, 226.1075, 226.1076, 268.154, 268.1544, 268.1545, 268.1546, 268.1548, 269.1576, 270.1604]",28
c1(c(nncc1N)O)Cl,CAS_RN: 6339-19-1,DTXSID50212792,146.0106:148.0074:116.997|148.0074:146.0106:147.0123;146.0115:90.0105|146.0115|146.0117|146.0117:116.9979|146.0117:116.9977:100.9902|146.0117:116.9977:100.9902|146.0115:116.9976:100.9901|146.0114|146.0116|146.0117:116.9977|146.0117:116.9976:100.9902|146.0116:116.9976:100.9901|146.0116:116.9977:100.9901|116.9972:54.0337;146.0123:116.9981|146.0123:116.9982,0,1,"[54.0337, 90.0105, 100.9901, 100.9902, 116.997, 116.9972, 116.9976, 116.9977, 116.9979, 116.9981, 116.9982, 146.0106, 146.0114, 146.0115, 146.0116, 146.0117, 146.0123, 147.0123, 148.0074]",19
ClC(=C(C=N1)N)C(=O)N1C,CAS_RN: 17254-80-7,DTXSID80891453,160.0279:162.0249:161.0305|160.0263:162.0283:161.029|160.0263:162.0283:130.0046|130.0043:160.026:116.997|130.0043:132.0017:116.997;160.0271:131.0006:131.0132|160.0271|160.0273|160.0272:116.9975:130.0053|160.0272:116.9977:130.0055|160.0272:116.9976:130.0055|160.0271:87.9949:116.9976|160.0271|160.0273|160.0273:116.9977:130.0055|160.0273:116.9977:130.0055|160.0273:116.9976:130.0054|160.0272:87.9949:116.9976|160.0271:131.0005:131.0134,0,1,"[87.9949, 116.997, 116.9975, 116.9976, 116.9977, 130.0043, 130.0046, 130.0053, 130.0054, 130.0055, 131.0005, 131.0006, 131.0132, 131.0134, 132.0017, 160.026, 160.0263, 160.0271, 160.0272, 160.0273, 160.0279, 161.029, 161.0305, 162.0249, 162.0283]",25
ClCC(=O)N(CCOCC)\C(=C(\C)C)c1ccccc1,CAS_RN: 106700-29-2,DTXSID4057928,131.0855:250.0994:296.1413;250.0998:131.0856:134.0368|296.1413:250.0994:131.0855|250.0994:131.0856:296.1408|131.0856:91.0542:220.1694|131.0856:91.0543:129.0698|91.0543:131.0856:116.062|91.0543:116.0621:131.0855|296.1413:250.0994:131.0855|131.0856:250.0993:296.1409|131.0856:91.0543:220.1696|131.0856:91.0543:129.0699|91.0543:131.0856:116.0621|91.0543:116.0621:131.0856|250.0994:131.0856:134.0368;131.0854:91.0541:160.112|91.0541:131.0854:116.0619|250.0991:131.0854:134.0366|250.0992:131.0854:134.0367,0,1,"[91.0541, 91.0542, 91.0543, 116.0619, 116.062, 116.0621, 129.0698, 129.0699, 131.0854, 131.0855, 131.0856, 134.0366, 134.0367, 134.0368, 160.112, 220.1694, 220.1696, 250.0991, 250.0992, 250.0993, 250.0994, 250.0998, 296.1408, 296.1409, 296.1413]",25
c(ccc1C(C(=O)O)C(NCC2)CC2)cc1,CAS_RN: 19395-41-6,DTXSID20864888,84.0809:174.1279|220.1335:84.0808|220.1334:84.0808:174.1277|84.0809:220.1333:174.1277|84.0809:174.1279:56.0494|84.0808:174.1277:91.0542|84.0809:91.0542:129.0697|220.1334:84.0808|220.1334:84.0808:174.1277|84.0809:220.1333:174.1278|84.0809:174.1278:220.1336|84.0809:174.1278:91.0543|84.0809:91.0543:56.0495|84.0809:174.1278:67.0543,0,0,"[56.0494, 56.0495, 67.0543, 84.0808, 84.0809, 91.0542, 91.0543, 129.0697, 174.1277, 174.1278, 174.1279, 220.1333, 220.1334, 220.1335, 220.1336]",15
c(ccc1N(N(C=2C)C)C(=O)C2N(C)C)cc1,CAS_RN: 58-15-1,DTXSID7020504,113.1075:111.0918:187.0868|232.1448:113.1074:111.0917|113.1074:232.1447:111.0917|113.1074:97.0761:111.0918|97.0761:58.0652:111.0917|97.0761:58.0652:56.0495|97.0761:58.0652:56.0495|232.1447:113.1074:111.0917|113.1074:232.1448:111.0918|113.1074:97.0761:111.0918|97.0762:58.0652:98.084|97.0761:58.0652:56.0495|97.0761:58.0652:56.0495|113.1075:111.0918:187.0869;97.0761:113.1074:98.0839|97.0761:70.0651:72.0808|113.1074:187.0868:111.0917|113.1074:187.0867:111.0917,0,0,"[56.0495, 58.0652, 70.0651, 72.0808, 97.0761, 97.0762, 98.0839, 98.084, 111.0917, 111.0918, 113.1074, 113.1075, 187.0867, 187.0868, 187.0869, 232.1447, 232.1448]",17
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O,CAS_RN: 56038-13-2,DTXSID1040245,419.0042:337.075:221.019|419.0039:238.985:221.0188,0,1,"[221.0188, 221.019, 238.985, 337.075, 419.0039, 419.0042]",6
CC(C)(C)C(=O)O/C2=C(/C(=O)N1CCOCCN12)c3c(CC)cc(C)cc3CC,CAS_RN: 243973-20-8,DTXSID8034823,317.1864|401.2432:317.1858|317.1864:401.2439:57.0699|317.186:57.0699:289.1547|317.1858:289.1546:57.0699|57.0699:131.0856:289.1547|131.0856:57.0699:146.0967|401.2436:317.1859|317.1861:401.2431:57.0698|317.1862:57.0699:289.1546|317.1859:289.1545:57.0699|57.0698:131.0855:174.0912|131.0855:57.0698:105.0698|317.186,0,0,"[57.0698, 57.0699, 105.0698, 131.0855, 131.0856, 146.0967, 174.0912, 289.1545, 289.1546, 289.1547, 317.1858, 317.1859, 317.186, 317.1861, 317.1862, 317.1864, 401.2431, 401.2432, 401.2436, 401.2439]",20
O=C(N(C1=C(C=CC=C1C)C)CN2C=CC=N2)CS(O)(=O)=O,CAS_RN: 172960-62-2,DTXSID40891454,256.0635:324.1014:257.0677|134.0952:256.0635:135.0987|134.0952:135.0987:160.0758|134.0956:135.0987|134.0957:135.0987:160.0738,0,0,"[134.0952, 134.0956, 134.0957, 135.0987, 160.0738, 160.0758, 256.0635, 257.0677, 324.1014]",9
Cc1cccc(c1N(Cn2cccn2)C(=O)C(=O)O)C,CAS_RN: NA,DTXSID00891455,206.0803:134.0955:162.0901|134.0956:206.0805:135.0988|134.0955:135.0994:206.0799|134.0958:118.0644:119.0726|134.0955:118.0637:132.0797;162.0916:134.0966:230.1289|134.0965:206.0812:69.0448|134.0965:206.0812:69.0448|134.0965:69.0448:206.0811|134.0965:69.0448:105.0699|134.0966:105.07:69.0448|105.0699:69.0447:134.0965|134.0964:206.081:69.0447|134.0965:206.0812:69.0447|134.0965:69.0448:206.0811|134.0965:69.0448:105.0699|134.0964:105.0699:69.0447|105.0699:134.0965:69.0448|162.0914:134.0965:230.1287,0,0,"[69.0447, 69.0448, 105.0699, 105.07, 118.0637, 118.0644, 119.0726, 132.0797, 134.0955, 134.0956, 134.0958, 134.0964, 134.0965, 134.0966, 135.0988, 135.0994, 162.0901, 162.0914, 162.0916, 206.0799, 206.0803, 206.0805, 206.081, 206.0811, 206.0812, 230.1287, 230.1289]",27
Cc1cccc(C)c1N(CCOC)C(=O)CCl,CAS_RN: 50563-36-5,DTXSID3058111,224.0837:256.11:226.0807|224.0837:226.0807:148.1109|148.1112:224.0837:226.0807|148.1113:133.0874:224.0825|148.111:133.0871:118.0643;224.0836:148.112:256.1098;224.084|224.084:256.1102|224.0839:256.1098:148.1121|224.0839:148.1122:132.0808|148.1122:224.0836:132.0808|148.1122:105.0699:132.0809|148.1122:105.0699:132.0809|224.0838:256.11:173.0152|224.0838:256.1103:148.1121|224.0838:148.1122:132.0807|148.1122:224.0839:132.0808|148.1122:105.07:132.0808|148.1121:105.0699:132.0808|224.0838,0,1,"[105.0699, 105.07, 118.0643, 132.0807, 132.0808, 132.0809, 133.0871, 133.0874, 148.1109, 148.111, 148.1112, 148.1113, 148.112, 148.1121, 148.1122, 173.0152, 224.0825, 224.0836, 224.0837, 224.0838, 224.0839, 224.084, 226.0807, 256.1098, 256.11, 256.1102, 256.1103]",27
CC(C)N(C(=O)CCl)c1ccccc1,CAS_RN: 1918-16-7,DTXSID4024274,212.0833:170.0355:214.0802|170.0355:172.033:171.039|170.0355:172.033:152.0249|152.0249:170.0355:172.033;170.0367:212.0837:94.0651;170.037:152.0261:212.0847|212.0838:170.0372:152.025|170.0369:212.084:152.0262|170.0368:152.0261:212.0831|170.0367:94.0651:106.0651|94.0652:106.0652:170.0368|94.0651:106.0651:77.0385|212.0837:170.0367:152.0261|170.0368:212.0837:152.0262|170.0367:212.0837:152.0261|170.0367:94.0651:106.0651|94.0651:106.0651:170.0366|94.0652:106.0652:77.0386|170.0369:152.0262:212.0836,0,1,"[77.0385, 77.0386, 94.0651, 94.0652, 106.0651, 106.0652, 152.0249, 152.025, 152.0261, 152.0262, 170.0355, 170.0366, 170.0367, 170.0368, 170.0369, 170.037, 170.0372, 171.039, 172.033, 212.0831, 212.0833, 212.0836, 212.0837, 212.0838, 212.084, 212.0847, 214.0802]",27
O=C(COc1nnc(s1)C(F)(F)F)N(c2ccc(F)cc2)C(C)C,CAS_RN: 142459-58-3,DTXSID2032552,194.0968:364.0736:152.0496|152.0502:194.0972:124.0553|152.0499:124.0551:152.0865|152.0498:124.0551:152.0865|124.0553:152.0502:152.0866;152.0507:194.0977:124.0557;194.0975:152.0506:124.0555|194.0975:152.0506:364.0733|152.0506:194.0975:152.087|152.0507:124.0557:152.087|124.0556:152.0506:109.0447|124.0556:109.0447:152.0505|124.0556:97.0447:109.0448|194.0975:152.0506:364.0731|152.0506:194.0975:152.0871|152.0506:124.0556:152.087|124.0556:152.0505:109.0447|124.0556:109.0447:152.0504|124.0556:97.0447:109.0447|194.0975:152.0506:124.0556,0,0,"[97.0447, 109.0447, 109.0448, 124.0551, 124.0553, 124.0555, 124.0556, 124.0557, 152.0496, 152.0498, 152.0499, 152.0502, 152.0504, 152.0505, 152.0506, 152.0507, 152.0865, 152.0866, 152.087, 152.0871, 194.0968, 194.0972, 194.0975, 194.0977, 364.0731, 364.0733, 364.0736]",27
c(ccc1N(N(C=2C)C)C(=O)C2N)cc1,CAS_RN: 83-07-8,DTXSID8048860,56.0497:204.1133:159.0917;187.087:159.0919:173.0712|204.1134:187.0866:159.0916|204.1135:56.0495:187.0867|56.0495:204.1133:94.0651|56.0495:94.0652:83.0605|56.0495:94.0652:83.0604|56.0495:94.0652:83.0604|204.1133:187.0866:159.0918|204.1134:56.0495:187.0867|56.0495:94.0651:204.113|56.0495:94.0651:83.0604|56.0495:94.0652:83.0604|56.0495:94.0652:83.0604|187.0867:159.0918:173.0711;94.0652:159.0918:83.0604|94.0651:83.0605:104.0494|187.0866:159.0917:173.0711|187.0866:159.0917:173.071,0,0,"[56.0495, 56.0497, 83.0604, 83.0605, 94.0651, 94.0652, 104.0494, 159.0916, 159.0917, 159.0918, 159.0919, 173.071, 173.0711, 173.0712, 187.0866, 187.0867, 187.087, 204.113, 204.1133, 204.1134, 204.1135]",21
NC(=O)N2c1ccccc1C4OC4c3ccccc23,CAS_RN: 36507-30-9,,210.0911:253.0971:236.0705|180.08:210.0908:182.0953|180.0802:182.0958:181.0829|180.0801:181.0829:182.0953|180.0801:167.072:181.0829;236.0709:210.0916:180.0807|253.0975:236.0707:210.0915|210.0916:236.0708:180.0809|180.0809:210.0915:182.0965|180.081:182.0967:210.0916|180.0808:182.0964:167.0729|180.081:167.0732:182.0966|253.0973:236.0706:210.0913|210.0914:236.0706:180.0808|180.081:210.0914:182.0965|180.0808:182.0964:210.0914|180.0809:182.0964:167.073|180.0809:167.073:182.0964|236.0708:210.0914:180.0808,0,0,"[167.072, 167.0729, 167.073, 167.0732, 180.08, 180.0801, 180.0802, 180.0807, 180.0808, 180.0809, 180.081, 181.0829, 182.0953, 182.0958, 182.0964, 182.0965, 182.0966, 182.0967, 210.0908, 210.0911, 210.0913, 210.0914, 210.0915, 210.0916, 236.0705, 236.0706, 236.0707, 236.0708, 236.0709, 253.0971, 253.0973, 253.0975]",32
c1cc2Nc3ccccc3\C=C/c2cc1,CAS_RN: 256-96-2,DTXSID90871625,194.0957:195.0991:179.0723|194.0957:179.0711:195.0991|179.0715:194.0939:165.0683|193.0872:179.0708:152.0605;194.0965:193.0888:134.06;194.0969:193.0886:165.0696|194.0968:193.0893:179.0727|194.0967:193.0891:165.0694|194.0969:193.0894:179.0725|194.0966:193.0892:179.0731|194.0969:193.0892:179.0732|193.089:194.0968:179.0731|194.0967:193.0892|194.0967:193.0891|194.0967:193.089:165.0695|194.0967:193.0891:179.0731|194.0969:193.0892:179.0732|193.0889:194.0966:179.0732|194.0967:193.0887:179.0726;194.0972:179.0738:167.0863|194.0973:179.0738:116.05|194.0972:167.086|194.0972:179.0736:167.086,0,0,"[116.05, 134.06, 152.0605, 165.0683, 165.0694, 165.0695, 165.0696, 167.086, 167.0863, 179.0708, 179.0711, 179.0715, 179.0723, 179.0725, 179.0726, 179.0727, 179.0731, 179.0732, 179.0736, 179.0738, 193.0872, 193.0886, 193.0887, 193.0888, 193.0889, 193.089, 193.0891, 193.0892, 193.0893, 193.0894, 194.0939, 194.0957, 194.0965, 194.0966, 194.0967, 194.0968, 194.0969, 194.0972, 194.0973, 195.0991]",40
CNCC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,CAS_RN: 149289-30-5,DTXSID20881050,246.1854:215.1429:121.0643|264.1961:246.1851:215.1431|215.1429:246.185:264.1958|121.0648:215.1431:147.0805|121.0647:147.0804:173.096|121.0649:147.0805:91.0543|121.0648:91.0542:147.0804|264.196:246.1852:215.143|246.1851:215.1431:264.1954|121.0648:215.143:147.0804|121.0648:147.0804:173.096|121.0648:147.0804:91.0542|121.0648:91.0542:147.0804|246.1853:215.1429:121.0649;121.0647:91.0542:95.0491|246.1852:264.1957:215.1431|215.143:246.1852:121.0647|121.0647:147.0804:215.143|121.0647:147.0804:173.096,0,0,"[91.0542, 91.0543, 95.0491, 121.0643, 121.0647, 121.0648, 121.0649, 147.0804, 147.0805, 173.096, 215.1429, 215.143, 215.1431, 246.185, 246.1851, 246.1852, 246.1853, 246.1854, 264.1954, 264.1957, 264.1958, 264.196, 264.1961]",23
O=C2C(\NC=O)=C(\C)N(C)N2c1ccccc1,CAS_RN: 1672-58-8,DTXSID10168241,232.1076:233.111:214.0964|214.0967:204.1125:232.1076|146.0589:214.0971:187.085|130.0641:146.0586:128.0486|130.0642:128.0491:132.0798;214.0977:204.1133:187.0865|232.1085:204.1136:214.097|232.1082:214.0975:204.1131|104.0496:83.0605:214.0976|104.0495:83.0605:56.0495|83.0604:56.0495:104.0495|56.0495:83.0605:77.0387|232.1084:214.0977:204.1133|232.1083:214.0977:204.1133|83.0604:104.0495:214.0975|104.0495:83.0604:56.0495|83.0604:104.0495:56.0495|56.0495:83.0604:77.0386|214.0976:204.1133:187.0866;104.0495:83.0604:94.0652|104.0495:83.0604:77.0386|214.0976:204.1133:187.0868|214.0976:204.1133:187.0867,0,0,"[56.0495, 77.0386, 77.0387, 83.0604, 83.0605, 94.0652, 104.0495, 104.0496, 128.0486, 128.0491, 130.0641, 130.0642, 132.0798, 146.0586, 146.0589, 187.085, 187.0865, 187.0866, 187.0867, 187.0868, 204.1125, 204.1131, 204.1133, 204.1136, 214.0964, 214.0967, 214.097, 214.0971, 214.0975, 214.0976, 214.0977, 232.1076, 232.1082, 232.1083, 232.1084, 232.1085, 233.111]",37
CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,CAS_RN: 93413-62-8,DTXSID40869118,264.196:246.1851:265.1992|246.1848:201.1266:264.1955|133.064:159.0794:145.0637|133.064:159.0795:145.0637|133.0639:145.0635:144.056;246.1856:107.0487:201.1274|264.1962:246.1859:58.065|246.1852:58.0652:264.1957|58.0652:107.0492:201.1275|58.0651:107.0492:133.0648|58.0652:107.0493:133.0649|58.0651:107.0492:133.0648|264.196:246.1852:58.0651|246.1853:264.196:58.0651|58.0652:107.0492:133.0648|58.0652:107.0492:133.0649|58.0652:107.0492:133.0648|58.0651:107.0492:133.0648|246.1855:201.1273:107.0483;58.0655:107.0491:133.0647|58.0655:107.0491:133.0647|58.0655:107.0491:105.0699|264.1956:246.1852:58.0654|58.0655:246.1852:264.1957;58.0653:264.1962:246.1856|58.0652:107.0491:133.0645|58.0653:107.0491:133.0646,0,0,"[58.065, 58.0651, 58.0652, 58.0653, 58.0654, 58.0655, 105.0699, 107.0483, 107.0487, 107.0491, 107.0492, 107.0493, 133.0639, 133.064, 133.0645, 133.0646, 133.0647, 133.0648, 133.0649, 144.056, 145.0635, 145.0637, 159.0794, 159.0795, 201.1266, 201.1273, 201.1274, 201.1275, 246.1848, 246.1851, 246.1852, 246.1853, 246.1855, 246.1856, 246.1859, 264.1955, 264.1956, 264.1957, 264.196, 264.1962, 265.1992]",41
CC1=C(N(C(CS(O)(=O)=O)=O)CCOC)C(C)=CC=C1,CAS_RN: NA,DTXSID20891457,270.0797:302.1055:271.0818|270.079:271.0815:174.0907|174.0902:270.0787:132.0794|132.0799:174.0903:146.0956|132.08:146.0955:174.0905;270.0795|270.0797:302.106|270.0793:147.1043:174.0914|270.0797:174.0916:147.1044|174.0915:132.0809:147.1043|132.0808:174.0915:146.0966|132.0808:146.0966:174.0914|270.0795:302.1057|270.0796:147.1044:302.1059|270.0794:174.0914:147.1043|174.0913:132.0808:147.1044|132.0808:174.0914:146.0965|132.0808:146.0965:174.0914|270.0795,0,0,"[132.0794, 132.0799, 132.08, 132.0808, 132.0809, 146.0955, 146.0956, 146.0965, 146.0966, 147.1043, 147.1044, 174.0902, 174.0903, 174.0905, 174.0907, 174.0913, 174.0914, 174.0915, 174.0916, 270.0787, 270.079, 270.0793, 270.0794, 270.0795, 270.0796, 270.0797, 271.0815, 271.0818, 302.1055, 302.1057, 302.1059, 302.106]",32
Cc1cccc(C)c1N(CCOC)C(=O)C(O)=O,CAS_RN: 1086384-49-7,DTXSID80891458,220.096:252.1223:221.0989|220.0958:148.1108:132.0802|132.0797:148.1112:220.0989|132.0801:131.0721:130.0648|130.0643:132.0796:131.0712;220.0968:206.1177|220.0968:252.1229:206.1176|220.0968:206.1177:178.1227|220.0968:148.1121:132.0808|132.0808:148.1121:220.0969|132.0808:105.07:148.1121|105.07:132.0808:117.0574|220.0968:252.1229:206.1176|220.0968:206.1177:178.1227|220.0968:148.1121:132.0808|132.0808:148.1121:220.0969|132.0808:105.0699:148.112|105.0699:132.0808:117.0573|220.0968:206.1177,0,0,"[105.0699, 105.07, 117.0573, 117.0574, 130.0643, 130.0648, 131.0712, 131.0721, 132.0796, 132.0797, 132.0801, 132.0802, 132.0808, 148.1108, 148.1112, 148.112, 148.1121, 178.1227, 206.1176, 206.1177, 220.0958, 220.096, 220.0968, 220.0969, 220.0989, 221.0989, 252.1223, 252.1229]",28
CN(C)C(=N)NC(N)=N,CAS_RN: 657-24-9,DTXSID2023270,71.0606:60.0556:130.1092|130.1082:113.083|130.1079:113.0818;60.0558:130.1087:71.0604;130.1088:60.0556:85.0509|130.1089:60.0557:85.0511|130.1088:60.0557:85.0509|130.1088:60.0557:71.0604|60.0557:71.0604:130.1088|71.0604:60.0556:85.0509|71.0604:60.0556:85.0509|130.1088:60.0556:85.0508|130.1088:60.0557:85.0509|130.1088:60.0557:71.0604|60.0556:130.1088:71.0604|71.0604:60.0557:85.0509|71.0604:60.0557:85.0509|130.1088:60.0557:85.051;60.0557:130.1087:71.0605|71.0604:60.0558:46.0648|71.0605:43.0287:68.0243;130.1092:71.0606:88.0873|71.0606:88.0873:85.0512|60.0557:85.0513:113.0826|60.0557:85.0512:113.0826,0,0,"[43.0287, 46.0648, 60.0556, 60.0557, 60.0558, 68.0243, 71.0604, 71.0605, 71.0606, 85.0508, 85.0509, 85.051, 85.0511, 85.0512, 85.0513, 88.0873, 113.0818, 113.0826, 113.083, 130.1079, 130.1082, 130.1087, 130.1088, 130.1089, 130.1092]",25
[H][C@](N)(CSCCCC\C=C(/NC(=O)[C@@]1([H])CC1(C)C)C(O)=O)C(O)=O,CAS_RN: 82009-34-5,DTXSID8048238,359.1657:360.1686:202.0913|202.0904:219.1175:359.1651|130.0687:202.0893:219.1167|130.0684:200.0758:156.0842;202.0897:342.1366:315.1734|359.1636:315.1733:202.0894|97.0648:202.0895:219.1159|97.0648:69.0699:130.0684|97.0647:69.0698:79.0541|97.0647:69.0698:79.0542|97.0647:69.0699:79.0542|359.1635:315.1733:202.0893|97.0648:202.0894:219.116|97.0648:130.0684:69.0698|97.0648:69.0698:79.0542|97.0647:69.0698:79.0542|97.0647:69.0698:79.0541|202.0895:342.1364:315.1732,0,0,"[69.0698, 69.0699, 79.0541, 79.0542, 97.0647, 97.0648, 130.0684, 130.0687, 156.0842, 200.0758, 202.0893, 202.0894, 202.0895, 202.0897, 202.0904, 202.0913, 219.1159, 219.116, 219.1167, 219.1175, 315.1732, 315.1733, 315.1734, 342.1364, 342.1366, 359.1635, 359.1636, 359.1651, 359.1657, 360.1686]",30
NCC1(CC(O)=O)CCCCC1,CAS_RN: 60142-96-3,DTXSID0020074,172.1327:154.1219:137.0955|154.1216:137.0956:172.1323|137.0955:154.1215:136.1104;154.1227:155.1066:172.1335|172.1334:154.1226:155.1066|172.1333:154.1227:137.0961|154.1228:172.1333:137.0961|154.1226:137.0961:119.0855|95.0855:154.1228:119.0855|95.0856:67.0543:91.0542|172.1334:154.1227:155.1067|172.1334:154.1228:137.0962|154.1228:172.1333:137.0962|154.1227:137.0961:119.0856|95.0856:154.1226:119.0855|95.0856:67.0543:91.0543|154.1228:155.1066:137.0961;154.1227:172.1332:137.096|55.0177:137.096:154.1226|67.0543:55.0177:55.0541;154.1228:137.0962:119.0856|95.0856:119.0856:91.0543|154.1227:155.1068:137.0963|154.1228:155.1068:137.0964,0,0,"[55.0177, 55.0541, 67.0543, 91.0542, 91.0543, 95.0855, 95.0856, 119.0855, 119.0856, 136.1104, 137.0955, 137.0956, 137.096, 137.0961, 137.0962, 137.0963, 137.0964, 154.1215, 154.1216, 154.1219, 154.1226, 154.1227, 154.1228, 155.1066, 155.1067, 155.1068, 172.1323, 172.1327, 172.1332, 172.1333, 172.1334, 172.1335]",32
CC[C@H](C(=O)N)N1CCCC1=O,CAS_RN: 102767-28-2,DTXSID10146044,126.0917:154.0867:127.0946|126.0919:127.095:154.0861|126.0922:127.0952|126.0915:127.095|126.0918;154.0863:126.0914|126.0914:154.0863:171.1128|126.0914:154.0863:171.1134|126.0914:154.0858:69.0335|126.0914:69.0336:98.0965|126.0913:69.0335:98.0964|126.0913:69.0335:98.0964|126.0913:154.0862:171.1126|126.0913:154.0862:171.1126|126.0913:154.0856:98.0964|126.0914:98.0964:69.0335|126.0913:69.0335:98.0964|126.0913:69.0335:98.0964|154.0862:126.0913,0,0,"[69.0335, 69.0336, 98.0964, 98.0965, 126.0913, 126.0914, 126.0915, 126.0917, 126.0918, 126.0919, 126.0922, 127.0946, 127.095, 127.0952, 154.0856, 154.0858, 154.0861, 154.0862, 154.0863, 154.0867, 171.1126, 171.1128, 171.1134]",23
FC1=CNC(=O)NC1=O,CAS_RN: 51-21-8,DTXSID2020634,84.9597:113.9985:88.0192|131.025|131.025:84.9597:113.9985|131.025:113.9985:84.9597|113.9984:131.025:84.9597|113.9985:131.025:84.9597|113.9985:84.9597:58.0087|131.025:84.9596|131.025:84.9596:113.9984|131.025:84.9596:113.9985|113.9985:131.025:84.9596|113.9985:84.9596:131.025|113.9984:84.9596:58.0087|84.9596:113.9985:113.0231,0,0,"[58.0087, 84.9596, 84.9597, 88.0192, 113.0231, 113.9984, 113.9985, 131.025]",8
COC1=CC=CC(=C1)[C@@]2(O)CCCC[C@@H]2CN(C)C,CAS_RN: 27203-92-5,DTXSID90858931,264.1957:246.1839|264.1954:246.1839:201.1268|159.0794:121.0635:173.0939|121.0644:159.0795:144.0561|121.0648:144.0569:128.0611;246.1851|264.1959:58.0651:246.1851|58.0652:264.196:246.1851|58.0651:56.0494|58.0651:121.0646|58.0651:121.0646|58.0652:121.0651|264.1961:58.0652:246.185|58.0651:264.1962:246.185|58.0651:264.1956:246.186|58.0651:56.0495:121.0648|58.0651:121.0648|58.0651:121.0647:56.0494|246.185;246.1855:187.1115|246.1855:187.1119,0,0,"[56.0494, 56.0495, 58.0651, 58.0652, 121.0635, 121.0644, 121.0646, 121.0647, 121.0648, 121.0651, 128.0611, 144.0561, 144.0569, 159.0794, 159.0795, 173.0939, 187.1115, 187.1119, 201.1268, 246.1839, 246.185, 246.1851, 246.1855, 246.186, 264.1954, 264.1956, 264.1957, 264.1959, 264.196, 264.1961, 264.1962]",31
